customerID;gender;SeniorCitizen;Partner;Dependents;Age;tenure;Busines Loan;MultipleBusinessLoans;CreditLine;Online Banking;Mortgage;Stocks;Forex;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn within a month;Satisfactory onboarding form
1;Female;0;Yes;No;35;1;No;;B;No;No;No;No;A;Yes;Electronic check;29.85;29.85;No;4
2;Male;0;No;No;46;34;Yes;No;B;Yes;No;No;No;B;No;Mailed check;56.95;1889.5;No;2
3;Male;0;No;No;41;2;Yes;No;B;Yes;No;No;No;A;Yes;Mailed check;53.85;108.15;Yes;3
4;Male;0;No;No;40;45;No;;B;Yes;Yes;No;No;B;No;Bank transfer (automatic);42.3;1840.75;No;1
5;Female;0;No;No;59;2;Yes;No;A;No;No;No;No;A;Yes;Electronic check;70.7;151.65;Yes;5
6;Female;0;No;No;43;8;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Electronic check;99.65;820.5;Yes;4
7;Male;0;No;Yes;27;22;Yes;Yes;A;No;No;Yes;No;A;Yes;Credit card (automatic);89.1;1949.4;No;5
8;Female;0;No;No;40;10;No;;B;Yes;No;No;No;A;No;Mailed check;29.75;301.9;No;3
9;Female;0;Yes;No;23;28;Yes;Yes;A;No;Yes;Yes;Yes;A;Yes;Electronic check;104.8;3046.05;Yes;5
10;Male;0;No;Yes;38;62;Yes;No;B;Yes;No;No;No;B;No;Bank transfer (automatic);56.15;3487.95;No;2
11;Male;0;Yes;Yes;48;13;Yes;No;B;Yes;No;No;No;A;Yes;Mailed check;49.95;587.45;No;3
12;Male;0;No;No;19;16;Yes;No;No;;No;No online banking;No online banking;C;No;Credit card (automatic);18.95;326.8;No;3
13;Male;0;Yes;No;55;58;Yes;Yes;A;No;No;Yes;Yes;B;No;Credit card (automatic);100.35;5681.1;No;4
14;Male;0;No;No;48;49;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Bank transfer (automatic);103.7;5036.3;Yes;4
15;Male;0;No;No;47;25;Yes;No;A;Yes;Yes;Yes;Yes;A;Yes;Electronic check;105.5;2686.05;No;1
16;Female;0;Yes;Yes;31;69;Yes;Yes;A;Yes;Yes;Yes;Yes;C;No;Credit card (automatic);113.25;7895.15;No;1
17;Female;0;No;No;50;52;Yes;No;No;;No;No online banking;No online banking;B;No;Mailed check;20.65;1022.95;No;4
18;Male;0;No;Yes;22;71;Yes;Yes;A;Yes;No;Yes;Yes;C;No;Bank transfer (automatic);106.7;7382.25;No;5
19;Female;0;Yes;Yes;22;10;Yes;No;B;No;Yes;No;No;A;No;Credit card (automatic);55.2;528.35;Yes;3
20;Female;0;No;No;24;21;Yes;No;A;No;No;No;Yes;A;Yes;Electronic check;90.05;1862.9;No;3
21;Male;1;No;No;85;1;No;;B;No;No;No;Yes;A;Yes;Electronic check;39.65;39.65;Yes;1
22;Male;0;Yes;No;45;12;Yes;No;No;;No;No online banking;No online banking;B;No;Bank transfer (automatic);19.8;202.25;No;5
23;Male;0;No;No;49;1;Yes;No;No;;No;No online banking;No online banking;A;No;Mailed check;20.15;20.15;Yes;5
24;Female;0;Yes;No;45;58;Yes;Yes;B;No;Yes;No;No;C;Yes;Credit card (automatic);59.9;3505.1;No;5
25;Male;0;Yes;Yes;47;49;Yes;No;B;Yes;Yes;No;No;A;No;Credit card (automatic);59.6;2970.3;No;5
26;Female;0;No;No;21;30;Yes;No;B;Yes;No;No;No;A;Yes;Bank transfer (automatic);55.3;1530.6;No;3
27;Male;0;Yes;Yes;37;47;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Electronic check;99.35;4749.15;Yes;5
28;Male;0;Yes;Yes;37;1;No;;B;No;No;No;No;A;No;Electronic check;30.2;30.2;Yes;2
29;Male;0;Yes;No;23;72;Yes;Yes;B;Yes;Yes;Yes;Yes;C;Yes;Credit card (automatic);90.25;6369.45;No;2
30;Female;0;No;Yes;48;17;Yes;No;B;No;No;Yes;Yes;A;Yes;Mailed check;64.7;1093.1;Yes;2
31;Female;1;Yes;No;60;71;Yes;Yes;A;Yes;Yes;No;No;C;Yes;Credit card (automatic);96.35;6766.95;No;1
32;Male;1;Yes;No;90;2;Yes;No;A;No;No;Yes;Yes;A;Yes;Credit card (automatic);95.5;181.65;No;1
33;Female;0;Yes;Yes;36;27;Yes;No;B;Yes;Yes;No;No;B;No;Mailed check;66.15;1874.45;No;5
34;Male;0;No;No;42;1;Yes;No;No;;No;No online banking;No online banking;A;No;Bank transfer (automatic);20.2;20.2;No;2
35;Male;1;No;No;63;1;Yes;No;B;No;No;No;No;A;No;Bank transfer (automatic);45.25;45.25;No;2
36;Female;0;Yes;Yes;59;72;Yes;Yes;A;Yes;Yes;Yes;No;C;No;Bank transfer (automatic);99.9;7251.7;No;2
37;Male;0;No;No;30;5;Yes;No;A;No;No;No;No;A;Yes;Electronic check;69.7;316.9;Yes;3
38;Female;0;No;No;22;46;Yes;No;A;No;No;No;No;A;Yes;Credit card (automatic);74.8;3548.3;No;3
39;Male;0;No;No;52;34;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Electronic check;106.35;3549.25;Yes;1
40;Female;0;No;No;28;11;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Bank transfer (automatic);97.85;1105.4;Yes;3
41;Male;0;Yes;Yes;50;10;Yes;No;B;No;No;No;No;B;No;Mailed check;49.55;475.7;No;5
42;Female;0;Yes;Yes;28;70;Yes;Yes;B;Yes;No;Yes;No;C;Yes;Credit card (automatic);69.2;4872.35;No;3
43;Female;0;Yes;Yes;59;17;Yes;No;No;;No;No online banking;No online banking;B;No;Mailed check;20.75;418.25;No;2
44;Female;0;No;No;30;63;Yes;Yes;B;Yes;Yes;Yes;No;C;Yes;Credit card (automatic);79.85;4861.45;No;5
45;Female;0;Yes;No;47;13;Yes;Yes;B;Yes;Yes;Yes;No;A;Yes;Electronic check;76.2;981.45;No;1
46;Female;0;No;No;20;49;Yes;Yes;A;No;No;No;Yes;A;Yes;Electronic check;84.5;3906.7;No;5
47;Male;0;No;No;26;2;Yes;No;B;No;No;No;No;A;No;Mailed check;49.25;97;No;2
48;Female;0;No;No;57;2;Yes;No;A;No;No;Yes;No;A;Yes;Electronic check;80.65;144.15;Yes;3
49;Male;0;No;No;34;52;Yes;Yes;B;Yes;Yes;Yes;Yes;C;Yes;Credit card (automatic);79.75;4217.8;No;5
50;Female;0;Yes;Yes;20;69;Yes;Yes;B;Yes;Yes;No;No;C;Yes;Credit card (automatic);64.15;4254.1;No;1
51;Female;1;No;No;87;43;Yes;Yes;A;No;No;Yes;No;A;Yes;Electronic check;90.25;3838.75;No;5
52;Female;0;No;No;31;15;Yes;No;A;Yes;No;Yes;Yes;A;Yes;Credit card (automatic);99.1;1426.4;Yes;5
53;Female;1;Yes;No;100;25;Yes;Yes;B;Yes;Yes;Yes;No;A;Yes;Credit card (automatic);69.5;1752.65;No;1
54;Female;1;Yes;No;75;8;Yes;Yes;A;No;No;No;No;A;Yes;Credit card (automatic);80.65;633.3;Yes;2
55;Female;1;Yes;Yes;73;60;Yes;No;B;Yes;Yes;No;Yes;B;Yes;Credit card (automatic);74.85;4456.35;No;4
56;Male;1;No;No;85;18;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Electronic check;95.45;1752.55;Yes;3
57;Female;0;Yes;Yes;55;63;Yes;Yes;A;Yes;No;Yes;Yes;B;Yes;Credit card (automatic);99.65;6311.2;No;3
58;Male;1;Yes;Yes;100;66;Yes;Yes;A;No;Yes;Yes;Yes;B;Yes;Electronic check;108.45;7076.35;No;1
59;Female;0;Yes;Yes;46;34;Yes;Yes;No;;No;No online banking;No online banking;C;No;Credit card (automatic);24.95;894.3;No;1
60;Female;0;No;No;34;72;Yes;Yes;A;No;Yes;Yes;Yes;C;Yes;Credit card (automatic);107.5;7853.7;No;5
61;Female;0;Yes;No;40;47;Yes;Yes;A;No;No;Yes;Yes;A;Yes;Electronic check;100.5;4707.1;No;3
62;Male;0;No;No;22;60;Yes;Yes;A;No;No;Yes;No;A;Yes;Bank transfer (automatic);89.9;5450.7;No;3
63;Male;0;Yes;No;45;72;No;;B;Yes;No;No;No;C;No;Bank transfer (automatic);42.1;2962;No;1
64;Female;0;Yes;Yes;19;18;Yes;No;B;No;Yes;No;No;B;Yes;Credit card (automatic);54.4;957.1;No;3
65;Female;0;No;No;35;9;Yes;Yes;A;No;No;Yes;Yes;A;No;Electronic check;94.4;857.25;Yes;1
66;Female;0;No;No;27;3;Yes;No;B;No;Yes;Yes;Yes;A;Yes;Electronic check;75.3;244.1;No;2
67;Male;0;Yes;No;41;47;Yes;Yes;A;No;No;No;No;B;Yes;Electronic check;78.9;3650.35;No;1
68;Female;0;No;No;49;31;Yes;No;B;No;Yes;Yes;Yes;C;No;Mailed check;79.2;2497.2;No;1
