customerid,gender,seniorcitizen,partner,dependents,age,tenure,busines_loan,multiplebusinessloans,creditline,online_banking,mortgage,stocks,forex,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn_within_a_month,satisfactory_onboarding_form,preds
1,Female,0,Yes,No,35,1,No,,B,No,No,No,No,A,Yes,Electronic check,29.85,29.85,No,4,True
2,Male,0,No,No,46,34,Yes,No,B,Yes,No,No,No,B,No,Mailed check,56.95,1889.5,No,2,False
3,Male,0,No,No,41,2,Yes,No,B,Yes,No,No,No,A,Yes,Mailed check,53.85,108.15,Yes,3,True
4,Male,0,No,No,40,45,No,,B,Yes,Yes,No,No,B,No,Bank transfer (automatic),42.3,1840.75,No,1,False
5,Female,0,No,No,59,2,Yes,No,A,No,No,No,No,A,Yes,Electronic check,70.7,151.65,Yes,5,True
6,Female,0,No,No,43,8,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,99.65,820.5,Yes,4,True
7,Male,0,No,Yes,27,22,Yes,Yes,A,No,No,Yes,No,A,Yes,Credit card (automatic),89.1,1949.4,No,5,True
8,Female,0,No,No,40,10,No,,B,Yes,No,No,No,A,No,Mailed check,29.75,301.9,No,3,False
9,Female,0,Yes,No,23,28,Yes,Yes,A,No,Yes,Yes,Yes,A,Yes,Electronic check,104.8,3046.05,Yes,5,True
10,Male,0,No,Yes,38,62,Yes,No,B,Yes,No,No,No,B,No,Bank transfer (automatic),56.15,3487.95,No,2,False
11,Male,0,Yes,Yes,48,13,Yes,No,B,Yes,No,No,No,A,Yes,Mailed check,49.95,587.45,No,3,False
12,Male,0,No,No,19,16,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),18.95,326.8,No,3,False
13,Male,0,Yes,No,55,58,Yes,Yes,A,No,No,Yes,Yes,B,No,Credit card (automatic),100.35,5681.1,No,4,False
14,Male,0,No,No,48,49,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Bank transfer (automatic),103.7,5036.3,Yes,4,True
15,Male,0,No,No,47,25,Yes,No,A,Yes,Yes,Yes,Yes,A,Yes,Electronic check,105.5,2686.05,No,1,True
16,Female,0,Yes,Yes,31,69,Yes,Yes,A,Yes,Yes,Yes,Yes,C,No,Credit card (automatic),113.25,7895.15,No,1,False
17,Female,0,No,No,50,52,Yes,No,No,,No,No online banking,No online banking,B,No,Mailed check,20.65,1022.95,No,4,False
18,Male,0,No,Yes,22,71,Yes,Yes,A,Yes,No,Yes,Yes,C,No,Bank transfer (automatic),106.7,7382.25,No,5,False
19,Female,0,Yes,Yes,22,10,Yes,No,B,No,Yes,No,No,A,No,Credit card (automatic),55.2,528.35,Yes,3,False
20,Female,0,No,No,24,21,Yes,No,A,No,No,No,Yes,A,Yes,Electronic check,90.05,1862.9,No,3,True
21,Male,1,No,No,85,1,No,,B,No,No,No,Yes,A,Yes,Electronic check,39.65,39.65,Yes,1,True
22,Male,0,Yes,No,45,12,Yes,No,No,,No,No online banking,No online banking,B,No,Bank transfer (automatic),19.8,202.25,No,5,False
23,Male,0,No,No,49,1,Yes,No,No,,No,No online banking,No online banking,A,No,Mailed check,20.15,20.15,Yes,5,True
24,Female,0,Yes,No,45,58,Yes,Yes,B,No,Yes,No,No,C,Yes,Credit card (automatic),59.9,3505.1,No,5,False
25,Male,0,Yes,Yes,47,49,Yes,No,B,Yes,Yes,No,No,A,No,Credit card (automatic),59.6,2970.3,No,5,False
26,Female,0,No,No,21,30,Yes,No,B,Yes,No,No,No,A,Yes,Bank transfer (automatic),55.3,1530.6,No,3,False
27,Male,0,Yes,Yes,37,47,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,99.35,4749.15,Yes,5,True
28,Male,0,Yes,Yes,37,1,No,,B,No,No,No,No,A,No,Electronic check,30.2,30.2,Yes,2,True
29,Male,0,Yes,No,23,72,Yes,Yes,B,Yes,Yes,Yes,Yes,C,Yes,Credit card (automatic),90.25,6369.45,No,2,False
30,Female,0,No,Yes,48,17,Yes,No,B,No,No,Yes,Yes,A,Yes,Mailed check,64.7,1093.1,Yes,2,False
31,Female,1,Yes,No,60,71,Yes,Yes,A,Yes,Yes,No,No,C,Yes,Credit card (automatic),96.35,6766.95,No,1,False
32,Male,1,Yes,No,90,2,Yes,No,A,No,No,Yes,Yes,A,Yes,Credit card (automatic),95.5,181.65,No,1,True
33,Female,0,Yes,Yes,36,27,Yes,No,B,Yes,Yes,No,No,B,No,Mailed check,66.15,1874.45,No,5,False
34,Male,0,No,No,42,1,Yes,No,No,,No,No online banking,No online banking,A,No,Bank transfer (automatic),20.2,20.2,No,2,True
35,Male,1,No,No,63,1,Yes,No,B,No,No,No,No,A,No,Bank transfer (automatic),45.25,45.25,No,2,True
36,Female,0,Yes,Yes,59,72,Yes,Yes,A,Yes,Yes,Yes,No,C,No,Bank transfer (automatic),99.9,7251.7,No,2,False
37,Male,0,No,No,30,5,Yes,No,A,No,No,No,No,A,Yes,Electronic check,69.7,316.9,Yes,3,True
38,Female,0,No,No,22,46,Yes,No,A,No,No,No,No,A,Yes,Credit card (automatic),74.8,3548.3,No,3,True
39,Male,0,No,No,52,34,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,106.35,3549.25,Yes,1,True
40,Female,0,No,No,28,11,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Bank transfer (automatic),97.85,1105.4,Yes,3,True
41,Male,0,Yes,Yes,50,10,Yes,No,B,No,No,No,No,B,No,Mailed check,49.55,475.7,No,5,False
42,Female,0,Yes,Yes,28,70,Yes,Yes,B,Yes,No,Yes,No,C,Yes,Credit card (automatic),69.2,4872.35,No,3,False
43,Female,0,Yes,Yes,59,17,Yes,No,No,,No,No online banking,No online banking,B,No,Mailed check,20.75,418.25,No,2,False
44,Female,0,No,No,30,63,Yes,Yes,B,Yes,Yes,Yes,No,C,Yes,Credit card (automatic),79.85,4861.45,No,5,False
45,Female,0,Yes,No,47,13,Yes,Yes,B,Yes,Yes,Yes,No,A,Yes,Electronic check,76.2,981.45,No,1,False
46,Female,0,No,No,20,49,Yes,Yes,A,No,No,No,Yes,A,Yes,Electronic check,84.5,3906.7,No,5,True
47,Male,0,No,No,26,2,Yes,No,B,No,No,No,No,A,No,Mailed check,49.25,97.0,No,2,True
48,Female,0,No,No,57,2,Yes,No,A,No,No,Yes,No,A,Yes,Electronic check,80.65,144.15,Yes,3,True
49,Male,0,No,No,34,52,Yes,Yes,B,Yes,Yes,Yes,Yes,C,Yes,Credit card (automatic),79.75,4217.8,No,5,False
50,Female,0,Yes,Yes,20,69,Yes,Yes,B,Yes,Yes,No,No,C,Yes,Credit card (automatic),64.15,4254.1,No,1,False
51,Female,1,No,No,87,43,Yes,Yes,A,No,No,Yes,No,A,Yes,Electronic check,90.25,3838.75,No,5,True
52,Female,0,No,No,31,15,Yes,No,A,Yes,No,Yes,Yes,A,Yes,Credit card (automatic),99.1,1426.4,Yes,5,True
53,Female,1,Yes,No,100,25,Yes,Yes,B,Yes,Yes,Yes,No,A,Yes,Credit card (automatic),69.5,1752.65,No,1,False
54,Female,1,Yes,No,75,8,Yes,Yes,A,No,No,No,No,A,Yes,Credit card (automatic),80.65,633.3,Yes,2,True
55,Female,1,Yes,Yes,73,60,Yes,No,B,Yes,Yes,No,Yes,B,Yes,Credit card (automatic),74.85,4456.35,No,4,False
56,Male,1,No,No,85,18,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,95.45,1752.55,Yes,3,True
57,Female,0,Yes,Yes,55,63,Yes,Yes,A,Yes,No,Yes,Yes,B,Yes,Credit card (automatic),99.65,6311.2,No,3,False
58,Male,1,Yes,Yes,100,66,Yes,Yes,A,No,Yes,Yes,Yes,B,Yes,Electronic check,108.45,7076.35,No,1,False
59,Female,0,Yes,Yes,46,34,Yes,Yes,No,,No,No online banking,No online banking,C,No,Credit card (automatic),24.95,894.3,No,1,False
60,Female,0,No,No,34,72,Yes,Yes,A,No,Yes,Yes,Yes,C,Yes,Credit card (automatic),107.5,7853.7,No,5,False
61,Female,0,Yes,No,40,47,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,100.5,4707.1,No,3,True
62,Male,0,No,No,22,60,Yes,Yes,A,No,No,Yes,No,A,Yes,Bank transfer (automatic),89.9,5450.7,No,3,False
63,Male,0,Yes,No,45,72,No,,B,Yes,No,No,No,C,No,Bank transfer (automatic),42.1,2962.0,No,1,False
64,Female,0,Yes,Yes,19,18,Yes,No,B,No,Yes,No,No,B,Yes,Credit card (automatic),54.4,957.1,No,3,False
65,Female,0,No,No,35,9,Yes,Yes,A,No,No,Yes,Yes,A,No,Electronic check,94.4,857.25,Yes,1,True
66,Female,0,No,No,27,3,Yes,No,B,No,Yes,Yes,Yes,A,Yes,Electronic check,75.3,244.1,No,2,True
67,Male,0,Yes,No,41,47,Yes,Yes,A,No,No,No,No,B,Yes,Electronic check,78.9,3650.35,No,1,False
68,Female,0,No,No,49,31,Yes,No,B,No,Yes,Yes,Yes,C,No,Mailed check,79.2,2497.2,No,1,False
69,Female,0,Yes,Yes,48,50,Yes,No,No,,No,No online banking,No online banking,C,No,Bank transfer (automatic),20.15,930.9,No,2,False
70,Male,0,No,No,32,10,Yes,No,A,Yes,No,No,No,A,Yes,Mailed check,79.85,887.35,No,5,True
71,Male,0,No,No,33,1,Yes,No,B,No,Yes,No,No,A,No,Mailed check,49.05,49.05,No,4,True
72,Female,0,Yes,Yes,19,52,Yes,No,No,,No,No online banking,No online banking,B,Yes,Electronic check,20.4,1090.65,No,4,False
73,Male,1,Yes,Yes,66,64,Yes,Yes,A,Yes,Yes,Yes,Yes,C,Yes,Bank transfer (automatic),111.6,7099.0,No,3,False
74,Male,0,Yes,Yes,46,62,Yes,Yes,No,,No,No online banking,No online banking,C,Yes,Bank transfer (automatic),24.25,1424.6,No,1,False
75,Female,0,No,Yes,31,3,Yes,No,B,Yes,Yes,No,Yes,A,Yes,Bank transfer (automatic),64.5,177.4,No,5,False
76,Female,1,No,No,74,56,Yes,Yes,A,Yes,No,Yes,Yes,B,No,Electronic check,110.5,6139.5,No,3,True
77,Female,0,No,No,25,46,Yes,No,B,No,No,No,Yes,B,No,Credit card (automatic),55.65,2688.85,No,4,False
78,Female,0,Yes,Yes,46,8,Yes,No,B,Yes,No,No,No,A,No,Mailed check,54.65,482.25,No,1,False
79,Male,1,No,No,99,30,Yes,No,B,Yes,No,Yes,Yes,A,Yes,Electronic check,74.75,2111.3,No,4,False
80,Female,0,Yes,Yes,45,45,Yes,Yes,No,,No,No online banking,No online banking,B,Yes,Credit card (automatic),25.9,1216.6,No,2,False
81,Female,0,No,Yes,21,1,Yes,No,A,No,No,Yes,No,A,Yes,Electronic check,79.35,79.35,Yes,4,True
82,Female,0,Yes,Yes,34,11,No,,B,Yes,No,Yes,Yes,A,No,Electronic check,50.55,565.35,No,2,True
83,Female,0,Yes,No,33,7,Yes,No,A,No,No,No,No,A,Yes,Bank transfer (automatic),75.15,496.9,Yes,5,True
